RIASEC_Dimension,Self_Concept_Dimension,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Primary_r,Primary_p,Method,Effect_Size,Significance,N
Artistic,Self_Acceptance,-0.5802036828910755,0.04795878485236148,-0.41293238079474825,0.18216180278683633,-0.5802036828910755,0.04795878485236148,Pearson,Large,*,12
Artistic,Worthiness,-0.016238709775341753,0.9600515973960841,0.20752171835524433,0.5175130126736136,-0.016238709775341753,0.9600515973960841,Pearson,Negligible,,12
Artistic,Present_Past_Future,-0.3144430324521303,0.3195318071934913,-0.16967509025270758,0.598059085495858,-0.3144430324521303,0.3195318071934913,Pearson,Medium,,12
Artistic,Beliefs_Convictions,0.35816103939289773,0.25297566722171333,0.43321299638989175,0.15948421876921126,0.35816103939289773,0.25297566722171333,Pearson,Medium,,12
Artistic,Shame_Guilt,-0.6298813493181545,0.028152870785362674,-0.5655378258710683,0.05531250153505445,-0.6298813493181545,0.028152870785362674,Pearson,Large,*,12
Artistic,Sociability,-0.005722700767757218,0.9859174060149439,0.24820370361747895,0.4366573537090608,-0.005722700767757218,0.9859174060149439,Pearson,Negligible,,12
Artistic,Emotional,-0.010785108436058384,0.9734626381326767,0.010791436723459138,0.9734470718618465,-0.010785108436058384,0.9734626381326767,Pearson,Negligible,,12
Artistic,Total_Self_Concept,-0.15045078376435575,0.6406991850038349,-0.035528518552096676,0.9127135228099343,-0.15045078376435575,0.6406991850038349,Pearson,Small,,12
Social,Health_Sex_Appropriateness,0.09740402232583142,0.7633012983730314,0.2991286547179523,0.3449107309083944,0.2991286547179523,0.3449107309083944,Spearman,Small,,12
Social,Abilities,0.2941359157726592,0.3534110420042223,0.29321289604125156,0.35499458999268807,0.2941359157726592,0.3534110420042223,Pearson,Small,,12
Social,Self_Confidence,0.3537414409180393,0.2593017411606854,0.3510060710178576,0.26326270756085085,0.3537414409180393,0.2593017411606854,Pearson,Medium,,12
Social,Self_Acceptance,0.06605716097568089,0.8383795481856965,0.075955452531275,0.8145087918459948,0.06605716097568089,0.8383795481856965,Pearson,Negligible,,12
Social,Worthiness,-0.13228466672450803,0.6819327700917508,-0.04685300761812306,0.8850344933804337,-0.13228466672450803,0.6819327700917508,Pearson,Small,,12
Social,Present_Past_Future,0.019780177979380666,0.9513476032428507,-0.016364069138129673,0.959743423629162,0.019780177979380666,0.9513476032428507,Pearson,Negligible,,12
Social,Beliefs_Convictions,0.4064115628006908,0.18985753753558304,0.4400116368252645,0.15230439460980819,0.4064115628006908,0.18985753753558304,Pearson,Medium,,12
Social,Shame_Guilt,-0.2104116059926886,0.5115643810936947,-0.3399910732352309,0.2795652985442938,-0.2104116059926886,0.5115643810936947,Pearson,Small,,12
Social,Sociability,0.10079692614380978,0.755274810313694,0.1592690909880867,0.6210063611612602,0.10079692614380978,0.755274810313694,Pearson,Small,,12
Social,Emotional,-0.10637970787850742,0.7421163408093552,-0.12319568363988669,0.7028750818530809,-0.10637970787850742,0.7421163408093552,Pearson,Small,,12
Social,Total_Self_Concept,0.15877298890757913,0.6221083505266609,0.1896756275043037,0.5548984883336019,0.15877298890757913,0.6221083505266609,Pearson,Small,,12
Enterprising,Health_Sex_Appropriateness,0.48521926981283203,0.1098217114964227,0.6805578937600718,0.01485503742794987,0.6805578937600718,0.01485503742794987,Spearman,Large,*,12
Enterprising,Abilities,0.3642562942979013,0.24440081344050965,0.31317519228881574,0.32159278761202426,0.3642562942979013,0.24440081344050965,Pearson,Medium,,12
Enterprising,Self_Confidence,0.479701044209015,0.11452727921783386,0.511774988041879,0.08897154108263397,0.479701044209015,0.11452727921783386,Pearson,Medium,,12
Enterprising,Self_Acceptance,-0.36584231429263403,0.2421980768044319,-0.39713838143550995,0.20114257900816884,-0.36584231429263403,0.2421980768044319,Pearson,Medium,,12
Enterprising,Worthiness,0.18285144368018272,0.569480104341461,0.1853858949434307,0.5640466920046892,0.18285144368018272,0.569480104341461,Pearson,Small,,12
Enterprising,Present_Past_Future,0.011495771770546831,0.9717146084342252,0.028777164595891035,0.9292593340262569,0.011495771770546831,0.9717146084342252,Pearson,Negligible,,12
Enterprising,Beliefs_Convictions,0.3102286214617702,0.3264107548303393,0.35971455744863795,0.25077367469237516,0.3102286214617702,0.3264107548303393,Pearson,Medium,,12
Enterprising,Shame_Guilt,-0.3468482742953092,0.2693501609841084,-0.2987482418906764,0.3455545066598089,-0.3468482742953092,0.2693501609841084,Pearson,Medium,,12
Enterprising,Sociability,0.2929039514532689,0.35552545959271203,0.35173331138664093,0.2622062204597479,0.2929039514532689,0.35552545959271203,Pearson,Small,,12
Enterprising,Emotional,0.4195293034775913,0.17457699260878648,0.3046594982078853,0.33562367823540773,0.4195293034775913,0.17457699260878648,Pearson,Medium,,12
Enterprising,Total_Self_Concept,0.3270093732752979,0.2994994482865256,0.29028776669504,0.36003777508176615,0.3270093732752979,0.2994994482865256,Pearson,Medium,,12
Conventional,Health_Sex_Appropriateness,0.05196874260929568,0.8725675930107308,-0.025844514530122438,0.9364548737503562,-0.025844514530122438,0.9364548737503562,Spearman,Negligible,,12
Conventional,Abilities,0.2270064539200246,0.4779986625781958,0.2664336227196133,0.40255006360526857,0.2270064539200246,0.4779986625781958,Pearson,Small,,12
Conventional,Self_Confidence,0.29358697511303833,0.3543523608378394,0.2635533634599117,0.4078473000831214,0.29358697511303833,0.3543523608378394,Pearson,Small,,12
Conventional,Self_Acceptance,0.07659235814848966,0.8129775644216044,0.13214285714285715,0.682257985346667,0.07659235814848966,0.8129775644216044,Pearson,Negligible,,12
Conventional,Worthiness,0.646867185799585,0.02299942563493301,0.7669087708564924,0.0036080363810793744,0.646867185799585,0.02299942563493301,Pearson,Large,*,12
Conventional,Present_Past_Future,0.41656913621494834,0.17795552036751372,0.4739745588252762,0.11954920246151073,0.41656913621494834,0.17795552036751372,Pearson,Medium,,12
Conventional,Beliefs_Convictions,0.3599549402428411,0.25043395799962953,0.31598303921685084,0.31703819197170235,0.3599549402428411,0.25043395799962953,Pearson,Medium,,12
Conventional,Shame_Guilt,-0.09366554436260706,0.772170114335887,-0.023214285714285715,0.9429121231023123,-0.09366554436260706,0.772170114335887,Pearson,Negligible,,12
Conventional,Sociability,0.44128645377014225,0.15098151945632132,0.48459756985399766,0.11034533359530714,0.44128645377014225,0.15098151945632132,Pearson,Medium,,12
Conventional,Emotional,-0.2845763576537173,0.3699928349044634,-0.07692320000777896,0.8121824022302487,-0.2845763576537173,0.3699928349044634,Pearson,Small,,12
Conventional,Total_Self_Concept,0.33227587016376703,0.2913188231263896,0.41698456071672957,0.17747893848673088,0.33227587016376703,0.2913188231263896,Pearson,Medium,,12
