Domain,Career,R,I,A,S,E,C
Banking & Finance,DSA/Sales Executives,0.0,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Stock Broker,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Phone Banking Officer,1.5,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Relationship Manager,0.0,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Economist,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Statistician,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,IT Officer - Banking,1.5,1.0,0.5,1.5,2.0,2.0
Building & Construction,Electrician (Self Employed),1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Carpenter ,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Plumber,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Crane Operator,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Interior Designer,1.0,1.0,2.0,1.0,1.5,0.5
Building & Construction,Architect,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Supervisor/Foreman - Building Construction,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Surveyor,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Real Estate Broker,1.0,1.0,1.0,1.0,1.0,1.0
Building & Construction,Proprietor - Construction,1.0,1.0,1.0,1.0,1.0,1.0
Clothing and Accessories,Textile Machine Operators,1.0,1.0,1.0,1.0,1.0,1.0
Clothing and Accessories,Designer & Master Cutter,1.0,1.0,2.0,1.0,1.5,0.5
Clothing and Accessories,Merchandiser,1.0,1.0,1.0,1.0,1.0,1.0
Clothing and Accessories,Textile Engineer,1.5,2.0,0.5,0.5,1.0,1.5
Clothing and Accessories,"Designer, Leather Articles",1.0,1.0,2.0,1.0,1.5,0.5
Clothing and Accessories,"Supervisor & Foreman, Leather Goods Making",1.0,1.0,1.0,1.0,1.0,1.0
Clothing and Accessories,"Machine Operator, Leather Industries",1.0,1.0,1.0,1.0,1.0,1.0
Education & Training,"University and College Teacher, Arts Subjects",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Commerce Subjects",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Education",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Engineering",1.5,2.0,0.5,1.0,1.0,1.5
Education & Training,"University and College Teacher, Fine Arts",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Information Technology",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Law",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Management Subjects",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Medicine and Surgery",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Science Subjects",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"University and College Teacher, Veterinary Science",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Art & Crafts  Teacher,0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"Senior Secondary and Secondary School Teacher, Arts",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"Senior Secondary and Secondary School Teacher, Commerce",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,"Senior Secondary and Secondary School Teacher, Science",0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Primary School Teacher,0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Teacher Pre-Primary,0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Teacher for Differently-Abled (Mental),0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Teacher for Differently-Abled (Physical),0.5,1.5,1.5,2.0,1.0,1.0
Education & Training,Headmaster,1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,"Principal, College",1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,Counsellor,1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,Librarian,1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,ITI Lecturer,1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,Polytechnic Lecturer,1.0,1.0,1.0,1.5,1.0,1.0
Education & Training,Skill & LIvelihood Trainer,0.5,1.0,1.0,2.0,1.5,1.0
Education & Training,Corporate Trainer,0.5,1.0,1.0,2.0,1.5,1.0
Education & Training,Mathematician,1.0,1.0,1.0,1.5,1.0,1.0
"Hardware, Electronics",Draftsman,1.0,1.0,1.0,1.0,1.0,1.0
"Hardware, Electronics",Electronics Fitter,1.0,1.0,1.0,1.0,1.0,1.0
"Hardware, Electronics",Electronic Mechanic,2.0,1.0,0.5,0.5,0.5,1.0
"Hardware, Electronics",LED Light Repair and Testring Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Hardware, Electronics",Solar Panel Installation Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Hardware, Electronics",Smartphone Repair Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Hardware, Electronics",Sales Executive,0.0,1.0,0.5,1.5,2.0,1.5
"Hardware, Electronics",Customer Care Executive,0.0,1.0,0.5,1.5,2.0,1.5
"Hardware, Electronics",Electro-Optical Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Optical Fiber Splicer/Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Hardware, Electronics",Electronic Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Electronic Hardware Design Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Electrical Design Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Embedded Software Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Network Management Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",LED Light Design Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",Solar PV System Installation Engineer,1.5,2.0,0.5,0.5,1.0,1.5
"Hardware, Electronics",CCTV Installation Technician,2.0,1.5,0.5,0.5,0.5,1.5
"Hardware, Electronics",Handset Repair Engineer,1.5,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Industrial Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Mechanical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Aeronautical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Agricultural Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Aircraft Maintenance Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Chemical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Civil Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Communication Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Computer Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Biochemical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Bio Medical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Electrical & Electronics Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Electronics & Communication Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Electronics & Instrumentation Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Environmental Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Robotics Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Robotic Machine Operator,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Sales Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Nuclear Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Material Scientist,1.5,2.0,0.5,0.5,0.5,1.5
Engineering & Manufacturing,Mining & Merallurgical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Metallurgical Engineer,2.0,2.0,0.5,0.5,1.0,1.5
Engineering & Manufacturing,Plastic Technologists,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Electrician,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Plumber,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Fitter,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Tool & Die Maker,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Aircraft Engine Mechanic,2.0,1.5,0.5,0.5,0.5,1.0
Engineering & Manufacturing,Avionics Technician,2.0,2.0,0.5,0.5,0.5,1.5
Engineering & Manufacturing,Air Compressor Operator,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,CNC Operator - Grinding Machine Centre,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Draughtsman-Mechanical,2.0,1.5,0.5,0.5,0.5,1.0
Engineering & Manufacturing,Power Plant Operator,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Water Treatment Plant Operator,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Sewage Treatment Plant Operator,1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,"Turbine Operator, Hydel",1.5,1.5,1.0,1.0,1.0,1.0
Engineering & Manufacturing,Lathe Machine Operator,1.5,1.5,1.0,1.0,1.0,1.0
Fitness & Lesiure,Athletic Coach,1.0,1.0,1.0,1.0,1.0,1.0
Fitness & Lesiure,Fitness Trainer/ Fitness Instructor,0.5,1.0,1.0,2.0,1.5,1.0
Fitness & Lesiure,Physical Training Instructor/ Physical Education Teacher,0.5,1.5,1.5,2.0,1.0,1.0
Fitness & Lesiure,"Professional Sportsman/ Professional, Athelete",1.0,1.0,1.0,1.0,1.0,1.0
Fitness & Lesiure,Sports Physiotherapist,1.0,1.5,1.0,2.0,0.5,1.0
Fitness & Lesiure,Yoga Therapist,1.0,1.5,1.0,2.0,0.5,1.0
Fitness & Lesiure,Sports Psychologist,1.0,1.0,1.0,1.0,1.0,1.0
Healthcare & Life Sciences,Ayurvedic Physician,0.5,2.0,0.5,2.0,1.0,1.0
Healthcare & Life Sciences,Physician,0.5,2.0,0.5,2.0,1.0,1.0
Healthcare & Life Sciences,Surgeon,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Neurologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Dentist,1.5,2.0,1.0,2.0,1.0,1.0
Healthcare & Life Sciences,Homoeopathic Physician,0.5,2.0,0.5,2.0,1.0,1.0
Healthcare & Life Sciences,Veterinarian,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Physiotherapists,1.0,2.0,1.0,2.0,0.5,1.0
Healthcare & Life Sciences,Psychiatrist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Psychologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Forensic Scientists,1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Microbiologist,1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Anesthesiologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Nutritionist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Pathologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Opthalomogists,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Pharmacists,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,ECG Technician,2.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Blood Bank Technician,2.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Medical Imaging Technician,2.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Dental Technician,2.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Nurse,1.0,1.5,0.5,2.0,0.5,1.5
Healthcare & Life Sciences,Nursing Assistant,0.5,1.0,0.5,2.0,1.0,1.5
Healthcare & Life Sciences,Bio-Medical Engineer,1.5,2.0,0.5,1.0,1.0,1.5
Healthcare & Life Sciences,Ecologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Entomologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Forensic Science Technician,2.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Marine Biologist,1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Plant Physiologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,"Chemist, Organic",1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Environmental Scientist (Including Health),1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Zoologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Chemist,1.0,2.0,0.5,1.0,0.5,1.5
Healthcare & Life Sciences,Acupuncturist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Dermatologist,1.0,1.5,1.0,1.5,1.0,1.0
Healthcare & Life Sciences,Speech Theropist,1.0,1.5,1.0,1.5,1.0,1.0
IT & ITES,Ethical Hacker,1.0,1.5,1.0,1.0,1.0,1.5
IT & ITES,QA Engineer (Software Testing Engineer),1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,AI Engineer,1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,Software Architect,1.0,1.5,1.0,1.0,1.0,1.5
IT & ITES,Network Engineer,1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,System Administrator,1.0,2.0,0.5,1.0,1.0,2.0
IT & ITES,Digital Marketer,1.0,1.5,1.0,1.0,1.0,1.5
IT & ITES,IT Project Manager,0.0,1.5,0.5,1.5,2.0,2.0
IT & ITES,Technical Writer,0.0,2.0,2.0,1.0,1.0,1.0
IT & ITES,Website Copywriter,0.0,2.0,2.0,1.0,1.0,1.0
IT & ITES,Trainer,0.5,1.5,1.0,2.0,1.5,1.5
IT & ITES,Sales Engineer,1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,Hardware Engineer,1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,IT Helpdesk Executive,0.0,1.5,0.5,1.5,2.0,2.0
IT & ITES,Engineer-Technical Support,1.5,2.0,0.5,0.5,1.0,2.0
IT & ITES,Cloud Computing Analyst,0.0,2.0,0.5,1.0,1.0,2.0
IT & ITES,Web Designer,1.0,1.5,2.0,1.0,1.5,1.0
IT & ITES,Web Developer,0.5,2.0,1.5,0.5,1.0,1.5
IT & ITES,Mobile App Developer,0.5,2.0,1.5,0.5,1.0,1.5
IT & ITES,Big Data Analyst,0.0,2.0,0.5,1.0,1.0,2.0
IT & ITES,Programmer Genreal,0.5,2.0,1.0,0.5,1.0,2.0
IT & ITES,Business Analyst,0.0,2.0,0.5,1.0,1.0,2.0
IT & ITES,Associate-Medical Transcription,1.0,1.5,1.0,1.0,1.0,1.5
IT & ITES,UI Designer,1.0,1.5,2.0,1.0,1.5,1.0
Social Sciences & Human Services,Social Worker,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Marriage and Family Counsellor,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Public Policy Analyst,0.0,2.0,0.5,1.0,1.0,1.5
Social Sciences & Human Services,Communications Officer ,1.5,1.0,0.5,1.5,1.5,1.5
Social Sciences & Human Services,Archaeologist,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Sociologist,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Geographer,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Geologist,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Historian,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Palaeontologist,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Psychologist,1.0,1.0,1.0,1.0,1.0,1.0
Social Sciences & Human Services,Hospital Counsellor,1.0,1.0,1.0,1.0,1.0,1.0
Law & Order,Judge,0.0,2.0,0.5,1.5,2.0,2.0
Law & Order,Civil Lawyer,0.0,2.0,1.0,1.5,2.0,1.5
Law & Order,Criminal Lawyer,0.0,2.0,1.0,1.5,2.0,1.5
Law & Order,Criminal Investigator,1.0,1.5,1.0,1.0,1.5,1.0
Law & Order,Anthropologist,1.0,1.5,1.0,1.0,1.5,1.0
Management & Marketing,HR Executive,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,HR Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Marketing Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Market Research Executive,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Marketing Executive,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Public Relations Executive,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Public Relations Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Labour Welfare Officier,1.0,1.0,1.0,1.5,1.5,1.0
Management & Marketing,Health & Safety Officer,1.5,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Sales Executive,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Counter sales Executives,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Sales Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Project Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,IT Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Brand Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Communications officer,1.5,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Social Media Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Executive - Event Management,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Armed Security Guard,1.0,1.0,1.0,1.5,1.5,1.0
Management & Marketing,Security Supervisor,1.0,1.0,1.0,1.5,1.5,1.0
Management & Marketing,Facilities/Operations Manager,0.0,1.0,0.5,2.0,2.0,1.5
Management & Marketing,Receptionist/Front Office Executive,0.0,1.0,0.5,2.0,2.0,1.5
Media & Entertainment,Anchor,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,News Reader,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Journalist,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Editor,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Radio Jockey,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,"Writer - Fiction, Creative",0.0,1.5,2.0,1.0,1.0,0.5
Media & Entertainment,Ad Copywriter,0.0,1.5,2.0,1.0,1.0,0.5
Media & Entertainment,Modeling,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Music Director,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Cartoonist,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Film Director,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Film Animator,1.0,1.0,1.0,1.0,1.0,1.0
Media & Entertainment,Actor (Film & Stage),1.0,1.0,1.0,1.0,1.0,1.0
Public Administration ,Indian Admin Service Officer,1.5,1.0,0.5,1.5,1.5,1.5
Public Administration ,Indian Police Service Officer,1.5,1.0,0.5,1.5,1.5,1.5
Public Administration ,Other All India Services,1.0,1.0,1.0,1.0,1.0,1.0
